	featureid	taxonomy	kingdom	phylum	class	order	family	genus	species
1037	otu1038	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Marvinbryantia(92);	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Marvinbryantia	
1038	otu1039	Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Holdemania(42);	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Holdemania	
1039	otu1040	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcaceae_UCG-005(100);	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_UCG-005	
1040	otu1041	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);uncultured(80);	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	uncultured	
1041	otu1042	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcaceae_UCG-010(100);	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_UCG-010	
1042	otu1043	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);uncultured(64);	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	uncultured	
1043	otu1044	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnoclostridium(61);	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	
1044	otu1045	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminiclostridium_5(100);	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium_5	
1045	otu1046	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);uncultured(88);	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	uncultured	
1046	otu1047	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(92);Bacteroides(92);	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
1047	otu1048	Bacteria(100);Cyanobacteria(100);Melainabacteria(100);Gastranaerophilales(100);Gastranaerophilales_fa(100);Gastranaerophilales_ge(100);	Bacteria	Cyanobacteria	Melainabacteria	Gastranaerophilales	Gastranaerophilales_fa	Gastranaerophilales_ge	
